  -2.000 0.0000 0.0000 0.0000  0.0000 0.0000 0.0000 
  -1.950 0.0000 0.0000 0.0000  0.0000 0.0000 0.0000 
  -1.900 0.0000 0.0000 0.0000  0.0000 0.0000 0.0000 
  -1.850 0.0000 0.0000 0.0000  0.0000 0.0000 0.0000 
  -1.800 0.0000 0.0000 0.0000  0.0000 0.0000 0.0000 
  -1.750 0.0000 0.0000 0.0000  0.0000 0.0000 0.0000 
  -1.700 0.0000 0.0000 0.0000  0.0000 0.0000 0.0000 
  -1.650 0.0000 0.0000 0.0000  0.0000 0.0000 0.0000 
  -1.600 0.0000 0.0000 0.0000  0.0000 0.0000 0.0000 
  -1.550 0.0000 0.0000 0.0000  0.0000 0.0000 0.0000 
  -1.500 0.0000 0.0000 0.0000  0.0000 0.0000 0.0000 
  -1.450 0.0000 0.0000 0.0000  0.0000 0.0000 0.0000 
  -1.400 0.0000 0.0000 0.0000  0.0000 0.0000 0.0000 
  -1.350 0.0000 0.0000 0.0000  0.0000 0.0000 0.0000 
  -1.300 0.0019 0.0016 0.0016  0.0096 0.0095 0.0095 
  -1.250 0.0033 0.0030 0.0030  0.0114 0.0113 0.0113 
  -1.200 0.0050 0.0047 0.0047  0.0133 0.0132 0.0132 
  -1.150 0.0075 0.0071 0.0071  0.0156 0.0155 0.0155 
  -1.100 0.0115 0.0111 0.0111  0.0190 0.0189 0.0189 
  -1.050 0.0167 0.0164 0.0164  0.0229 0.0227 0.0227 
  -1.000 0.0232 0.0228 0.0228  0.0271 0.0270 0.0270 
  -0.950 0.0323 0.0319 0.0319  0.0324 0.0323 0.0323 
  -0.900 0.0441 0.0437 0.0437  0.0385 0.0383 0.0383 
  -0.850 0.0596 0.0593 0.0593  0.0456 0.0454 0.0454 
  -0.800 0.0782 0.0779 0.0779  0.0532 0.0531 0.0531 
  -0.750 0.0990 0.0987 0.0987  0.0608 0.0607 0.0607 
  -0.700 0.1232 0.1229 0.1229  0.0687 0.0686 0.0686 
  -0.650 0.1502 0.1498 0.1498  0.0767 0.0766 0.0766 
  -0.600 0.1736 0.1733 0.1733  0.0832 0.0831 0.0831 
  -0.550 0.1936 0.1932 0.1932  0.0889 0.0887 0.0887 
  -0.500 0.2095 0.2091 0.2091  0.0934 0.0932 0.0932 
  -0.450 0.2221 0.2218 0.2218  0.0973 0.0971 0.0971 
  -0.400 0.2325 0.2322 0.2322  0.1010 0.1009 0.1009 
  -0.350 0.2417 0.2413 0.2413  0.1051 0.1050 0.1050 
  -0.300 0.2507 0.2503 0.2503  0.1098 0.1097 0.1097 
  -0.250 0.2582 0.2579 0.2579  0.1141 0.1140 0.1140 
  -0.200 0.2631 0.2627 0.2627  0.1180 0.1179 0.1179 
  -0.150 0.2653 0.2650 0.2650  0.1211 0.1210 0.1210 
  -0.100 0.2650 0.2646 0.2646  0.1234 0.1233 0.1233 
  -0.050 0.2623 0.2620 0.2620  0.1254 0.1253 0.1253 
   0.000 0.2577 0.2573 0.2573  0.1271 0.1269 0.1269 
   0.050 0.2518 0.2514 0.2514  0.1286 0.1285 0.1285 
   0.100 0.2458 0.2455 0.2455  0.1303 0.1302 0.1302 
   0.150 0.2404 0.2400 0.2400  0.1321 0.1320 0.1320 
   0.200 0.2356 0.2352 0.2352  0.1342 0.1340 0.1340 
   0.250 0.2318 0.2315 0.2315  0.1366 0.1365 0.1365 
   0.300 0.2296 0.2293 0.2293  0.1392 0.1391 0.1391 
   0.350 0.2292 0.2288 0.2288  0.1418 0.1417 0.1417 
   0.400 0.2292 0.2288 0.2288  0.1439 0.1438 0.1438 
   0.450 0.2293 0.2289 0.2289  0.1453 0.1452 0.1452 
   0.500 0.2294 0.2290 0.2290  0.1460 0.1459 0.1459 
   0.550 0.2291 0.2287 0.2287  0.1461 0.1460 0.1460 
   0.600 0.2285 0.2281 0.2281  0.1458 0.1456 0.1456 
   0.650 0.2276 0.2272 0.2272  0.1450 0.1449 0.1449 
   0.700 0.2261 0.2258 0.2258  0.1438 0.1437 0.1437 
   0.750 0.2244 0.2241 0.2241  0.1426 0.1425 0.1425 
   0.800 0.2226 0.2223 0.2223  0.1412 0.1411 0.1411 
   0.850 0.2209 0.2205 0.2205  0.1399 0.1397 0.1397 
   0.900 0.2188 0.2185 0.2185  0.1385 0.1384 0.1384 
   0.950 0.2168 0.2164 0.2164  0.1371 0.1370 0.1370 
   1.000 0.2148 0.2145 0.2145  0.1355 0.1354 0.1354 
   1.050 0.2129 0.2125 0.2125  0.1344 0.1343 0.1343 
   1.100 0.2109 0.2106 0.2106  0.1332 0.1331 0.1331 
   1.150 0.2089 0.2086 0.2086  0.1320 0.1319 0.1319 
   1.200 0.2071 0.2067 0.2067  0.1309 0.1308 0.1308 
   1.250 0.2054 0.2051 0.2051  0.1299 0.1298 0.1298 
   1.300 0.2039 0.2035 0.2035  0.1289 0.1287 0.1287 
   1.350 0.2024 0.2021 0.2021  0.1279 0.1278 0.1278 
   1.400 0.2009 0.2005 0.2005  0.1271 0.1269 0.1269 
   1.450 0.1993 0.1990 0.1990  0.1262 0.1261 0.1261 
   1.500 0.1980 0.1977 0.1977  0.1254 0.1253 0.1253 
   1.550 0.1968 0.1965 0.1965  0.1246 0.1245 0.1245 
   1.600 0.1956 0.1953 0.1953  0.1240 0.1239 0.1239 
   1.650 0.1945 0.1941 0.1941  0.1233 0.1232 0.1232 
   1.700 0.1932 0.1928 0.1928  0.1228 0.1227 0.1227 
   1.750 0.1921 0.1917 0.1917  0.1222 0.1221 0.1221 
   1.800 0.1911 0.1908 0.1908  0.1218 0.1216 0.1216 
   1.850 0.1902 0.1899 0.1899  0.1212 0.1211 0.1211 
   1.900 0.1892 0.1888 0.1888  0.1207 0.1206 0.1206 
   1.950 0.1882 0.1878 0.1878  0.1203 0.1202 0.1202 
   2.000 0.1874 0.1871 0.1871  0.1201 0.1200 0.1200 
   2.050 0.1866 0.1862 0.1862  0.1197 0.1196 0.1196 
   2.100 0.1857 0.1853 0.1853  0.1193 0.1192 0.1192 
   2.150 0.1847 0.1843 0.1843  0.1189 0.1188 0.1188 
   2.200 0.1838 0.1834 0.1834  0.1185 0.1184 0.1184 
   2.250 0.1830 0.1827 0.1827  0.1182 0.1181 0.1181 
   2.300 0.1822 0.1818 0.1818  0.1178 0.1177 0.1177 
   2.350 0.1813 0.1809 0.1809  0.1176 0.1175 0.1175 
   2.400 0.1804 0.1800 0.1800  0.1173 0.1171 0.1171 
   2.450 0.1796 0.1793 0.1793  0.1170 0.1168 0.1168 
   2.500 0.1788 0.1784 0.1784  0.1166 0.1165 0.1165 
   2.550 0.1779 0.1776 0.1776  0.1162 0.1161 0.1161 
   2.600 0.1770 0.1766 0.1766  0.1159 0.1158 0.1158 
   2.650 0.1759 0.1755 0.1755  0.1156 0.1154 0.1154 
   2.700 0.1751 0.1747 0.1747  0.1153 0.1152 0.1152 
   2.750 0.1741 0.1738 0.1738  0.1149 0.1148 0.1148 
   2.800 0.1732 0.1728 0.1728  0.1146 0.1144 0.1144 
   2.850 0.1721 0.1717 0.1717  0.1142 0.1140 0.1140 
   2.900 0.1708 0.1705 0.1705  0.1138 0.1137 0.1137 
   2.950 0.1697 0.1694 0.1694  0.1134 0.1133 0.1133 
   3.000 0.1686 0.1683 0.1683  0.1129 0.1128 0.1128 
   3.050 0.1686 0.1683 0.1683  0.1129 0.1128 0.1128 
   3.100 0.1686 0.1683 0.1683  0.1129 0.1128 0.1128 
   3.150 0.1686 0.1683 0.1683  0.1129 0.1128 0.1128 
   3.200 0.1686 0.1683 0.1683  0.1129 0.1128 0.1128 
   3.250 0.1686 0.1683 0.1683  0.1129 0.1128 0.1128 
   3.300 0.1686 0.1683 0.1683  0.1129 0.1128 0.1128 
   3.350 0.1686 0.1683 0.1683  0.1129 0.1128 0.1128 
   3.400 0.1686 0.1683 0.1683  0.1129 0.1128 0.1128 
   3.450 0.1686 0.1683 0.1683  0.1129 0.1128 0.1128 
   3.500 0.1686 0.1683 0.1683  0.1129 0.1128 0.1128 
   3.550 0.1686 0.1683 0.1683  0.1129 0.1128 0.1128 
   3.600 0.1686 0.1683 0.1683  0.1129 0.1128 0.1128 
   3.650 0.1686 0.1683 0.1683  0.1129 0.1128 0.1128 
   3.700 0.1686 0.1683 0.1683  0.1129 0.1128 0.1128 
   3.750 0.1686 0.1683 0.1683  0.1129 0.1128 0.1128 
   3.800 0.1686 0.1683 0.1683  0.1129 0.1128 0.1128 
   3.850 0.1686 0.1683 0.1683  0.1129 0.1128 0.1128 
   3.900 0.1686 0.1683 0.1683  0.1129 0.1128 0.1128 
   3.950 0.1686 0.1683 0.1683  0.1129 0.1128 0.1128 
   4.000 0.1686 0.1683 0.1683  0.1129 0.1128 0.1128 
   4.050 0.1686 0.1683 0.1683  0.1129 0.1128 0.1128 
   4.100 0.1686 0.1683 0.1683  0.1129 0.1128 0.1128 
   4.150 0.1686 0.1683 0.1683  0.1129 0.1128 0.1128 
   4.200 0.1686 0.1683 0.1683  0.1129 0.1128 0.1128 
   4.250 0.1686 0.1683 0.1683  0.1129 0.1128 0.1128 
   4.300 0.1686 0.1683 0.1683  0.1129 0.1128 0.1128 
   4.350 0.1686 0.1683 0.1683  0.1129 0.1128 0.1128 
   4.400 0.1686 0.1683 0.1683  0.1129 0.1128 0.1128 
   4.450 0.1686 0.1683 0.1683  0.1129 0.1128 0.1128 
   4.500 0.1686 0.1683 0.1683  0.1129 0.1128 0.1128 
   4.550 0.1686 0.1683 0.1683  0.1129 0.1128 0.1128 
   4.600 0.1686 0.1683 0.1683  0.1129 0.1128 0.1128 
   4.650 0.1686 0.1683 0.1683  0.1129 0.1128 0.1128 
   4.700 0.1686 0.1683 0.1683  0.1129 0.1128 0.1128 
   4.750 0.1686 0.1683 0.1683  0.1129 0.1128 0.1128 
   4.800 0.1686 0.1683 0.1683  0.1129 0.1128 0.1128 
   4.850 0.1686 0.1683 0.1683  0.1129 0.1128 0.1128 
   4.900 0.1686 0.1683 0.1683  0.1129 0.1128 0.1128 
   4.950 0.1686 0.1683 0.1683  0.1129 0.1128 0.1128 
   5.000 0.1686 0.1683 0.1683  0.1129 0.1128 0.1128 
   5.050 0.1686 0.1683 0.1683  0.1129 0.1128 0.1128 
