--------- #nu_mu_dis ---------

0.5625	     74.5335	
0.6875	     136.906	
0.8125	     216.718	
0.9375	     319.616	
 1.062	      440.18	
 1.188	     543.519	
 1.312	      584.06	
 1.438	     548.005	
 1.562	     464.044	
 1.688	     370.575	
 1.812	     285.838	
 1.938	     210.972	
 2.062	     146.534	
 2.188	     97.1854	
 2.312	     66.0392	
 2.438	     51.2987	
 2.562	     48.4932	
 2.688	     53.6827	
 2.812	     64.4437	
 2.938	     79.2317	
 3.062	     96.6495	
 3.188	     115.233	
 3.312	     133.582	
 3.438	     150.536	
 3.562	     165.247	
 3.688	     177.148	
 3.812	     185.898	
 3.938	     191.346	
 4.062	     193.536	
 4.188	     192.663	
 4.312	     189.016	
 4.438	     182.902	
 4.562	     174.626	
 4.688	     164.521	
 4.812	     152.992	
 4.938	     140.528	
 5.062	      127.67	
 5.188	     114.947	
 5.312	     102.808	
 5.438	     91.5774	
 5.562	     81.4465	
 5.688	     72.4864	
 5.812	     64.6786	
 5.938	     57.9459	
 6.062	     52.1824	
 6.188	     47.2719	
 6.312	     43.1007	
 6.438	     39.5631	
 6.562	      36.566	
 6.688	     34.0287	
 6.812	     31.8836	
 6.938	     30.0744	
 7.062	     28.5548	
 7.188	     27.2854	
 7.312	      26.232	
 7.438	     25.3645	
 7.562	     24.6551	
 7.688	     24.0786	
 7.812	     23.6117	
 7.938	     23.2328	
     9	     325.063	
    11	     134.463	
    13	     154.384	
    15	     138.416	
    17	     85.1275	
    19	     60.4605	
    21	     48.2433	
    23	     34.8171	
    25	     29.3933	
    27	     30.9988	
    29	     29.6077	
    31	     21.7855	
    33	     14.5878	
    35	        11.1	
    37	     9.40053	
    39	     8.08127	
    41	     6.74269	
    43	     5.56321	
    45	     4.63841	
    47	     3.91006	
    49	     3.40358	
    51	     3.14012	
    53	     2.94269	
    55	     2.58145	
    58	     2.00752	
----------------------
Total:	      9810.4	
	
0.5625	     20.8493	
0.6875	     54.7366	
0.8125	     103.023	
0.9375	     159.535	
 1.062	      224.26	
 1.188	     286.166	
 1.312	     320.338	
 1.438	     315.089	
 1.562	     282.484	
 1.688	     240.162	
 1.812	     195.989	
 1.938	      151.42	
 2.062	     110.076	
 2.188	     78.1088	
 2.312	     59.3904	
 2.438	     53.5906	
 2.562	     58.2452	
 2.688	      71.158	
 2.812	     90.9799	
 2.938	     116.628	
 3.062	     146.743	
 3.188	     179.614	
 3.312	     213.403	
 3.438	     246.398	
 3.562	     277.137	
 3.688	     304.426	
 3.812	     327.341	
 3.938	     345.252	
 4.062	     357.865	
 4.188	      365.17	
 4.312	     367.342	
 4.438	      364.64	
 4.562	     357.391	
 4.688	     346.066	
 4.812	      331.35	
 4.938	     314.161	
 5.062	     295.558	
 5.188	     276.605	
 5.312	     258.229	
 5.438	     241.123	
 5.562	     225.718	
 5.688	     212.197	
 5.812	     200.552	
 5.938	     190.626	
 6.062	     182.173	
 6.188	      174.88	
 6.312	     168.397	
 6.438	     162.359	
 6.562	     156.406	
 6.688	     150.213	
 6.812	     143.521	
 6.938	     136.159	
 7.062	     128.059	
 7.188	     119.266	
 7.312	     109.921	
 7.438	      100.25	
 7.562	     90.5311	
 7.688	     81.0627	
 7.812	     72.1338	
 7.938	     63.9949	
     9	      661.13	
    11	     607.013	
    13	     868.295	
    15	     883.814	
    17	     625.786	
    19	     493.757	
    21	     426.178	
    23	     344.654	
    25	     321.305	
    27	     351.754	
    29	     346.971	
    31	     277.167	
    33	     203.461	
    35	     163.437	
    37	     143.931	
    39	     128.958	
    41	     113.274	
    43	     98.3284	
    45	     85.9273	
    47	     76.4224	
    49	     70.0274	
    51	     66.1902	
    53	     62.3439	
    55	     55.4561	
    58	     44.7283	
----------------------
Total:	     19296.8	

