--------- #anu_mu_dis ---------

0.5625	     11.8269	
0.6875	     24.7882	
0.8125	     43.3091	
0.9375	     68.9772	
 1.062	     100.802	
 1.188	     129.627	
 1.312	     142.698	
 1.438	     136.053	
 1.562	     117.637	
 1.688	     97.2958	
 1.812	     78.4661	
 1.938	     60.3182	
 2.062	     43.1699	
 2.188	      29.279	
 2.312	     20.3729	
 2.438	     16.3666	
 2.562	     16.1233	
 2.688	     18.5362	
 2.812	     22.8844	
 2.938	     28.6715	
 3.062	     35.4324	
 3.188	     42.6727	
 3.312	     49.8973	
 3.438	     56.6544	
 3.562	     62.5571	
 3.688	      67.287	
 3.812	     70.6034	
 3.938	     72.3754	
 4.062	     72.6125	
 4.188	     71.4636	
 4.312	     69.1732	
 4.438	     66.0182	
 4.562	     62.2596	
 4.688	     58.1189	
 4.812	     53.7744	
 4.938	     49.3637	
 5.062	     44.9885	
 5.188	     40.7231	
 5.312	     36.6245	
 5.438	     32.7427	
 5.562	     29.1263	
 5.688	     25.8204	
 5.812	     22.8625	
 5.938	     20.2761	
 6.062	     18.0676	
 6.188	     16.2262	
 6.312	     14.7261	
 6.438	     13.5313	
 6.562	     12.5993	
 6.688	      11.886	
 6.812	     11.3485	
 6.938	     10.9477	
 7.062	     10.6499	
 7.188	     10.4275	
 7.312	     10.2587	
 7.438	     10.1276	
 7.562	     10.0229	
 7.688	     9.93633	
 7.812	     9.86201	
 7.938	      9.7945	
     9	      127.26	
    11	     24.0467	
----------------------
Total:	     2762.35	
	
0.5625	     12.3086	     2.87912	     3.28511	
0.6875	     18.4676	     5.06684	      3.0537	
0.8125	     26.1053	     7.31511	     2.67457	
0.9375	      31.338	     9.52636	     2.36302	
 1.062	     31.2065	     11.7376	     2.15728	
 1.188	     27.1494	     13.5132	     2.03637	
 1.312	     22.2807	     14.0512	     1.92954	
 1.438	     17.9088	     13.0464	     1.74192	
 1.562	      13.729	     11.0642	      1.4306	
 1.688	     9.67319	      8.9258	     1.04546	
 1.812	     6.33528	     7.02395	    0.685772	
 1.938	     4.19714	     5.33827	    0.424971	
 2.062	     3.21176	     3.82556	    0.278032	
 2.188	     3.05498	      2.5814	    0.221141	
 2.312	     3.45571	     1.71745	      0.2244	
 2.438	     4.27695	     1.24122	     0.26533	
 2.562	     5.44811	     1.07213	    0.330206	
 2.688	     6.90076	     1.11527	    0.408453	
 2.812	     8.54373	     1.30181	    0.491413	
 2.938	     10.2592	     1.58775	    0.573302	
 3.062	     11.9098	     1.94136	    0.647822	
 3.188	     13.3562	     2.33702	    0.723388	
 3.312	     14.4811	     2.75584	     0.80913	
 3.438	     15.2141	     3.18267	    0.893092	
 3.562	     15.5435	     3.60951	     0.98327	
 3.688	     15.5124	     4.03106	     1.08037	
 3.812	     15.1947	     4.44511	     1.18497	
 3.938	     14.6676	      4.8535	     1.29784	
 4.062	     13.9922	     5.26295	     1.41953	
 4.188	     13.2106	     5.68332	     1.54963	
 4.312	     12.3546	     6.12317	     1.68624	
 4.438	     11.4541	     6.58496	     1.82593	
 4.562	     10.5392	     7.06212	     1.96408	
 4.688	     9.63799	     7.53998	      2.0956	
 4.812	     8.77298	     7.99927	     2.21566	
 4.938	     7.96063	     8.42073	     2.32038	
 5.062	      7.2123	     8.78899	      2.4073	
 5.188	      6.5359	     9.09507	     2.47576	
 5.312	     5.93668	     9.33702	      2.5269	
 5.438	     5.41723	     9.51972	     2.56349	
 5.562	     4.97709	     9.65318	     2.58939	
 5.688	     4.61245	     9.75053	     2.60887	
 5.812	     4.31594	     9.82533	     2.62571	
 5.938	     4.07688	     9.88928	     2.64241	
 6.062	     3.88168	     9.95018	     2.65973	
 6.188	     3.71501	     10.0112	     2.67646	
 6.312	     3.56108	      10.071	     2.68969	
 6.438	     3.40542	     10.1248	     2.69525	
 6.562	     3.23643	     10.1664	     2.68851	
 6.688	      3.0466	     10.1892	     2.66509	
 6.812	     2.83311	     10.1881	     2.62153	
 6.938	     2.59773	     10.1596	     2.55582	
 7.062	      2.3462	     10.1024	     2.46763	
 7.188	     2.08702	     10.0174	     2.35829	
 7.312	     1.83015	     9.90678	     2.23061	
 7.438	     1.58568	     9.77427	     2.08854	
 7.562	     1.36265	     9.62445	     1.93673	
 7.688	     1.16823	     9.46241	     1.78012	
 7.812	     1.00724	     9.29355	     1.62355	
 7.938	     0.88197	     9.12298	     1.47145	
     9	     13.1892	     124.211	     12.5619	
    11	     5.10386	     50.2385	      8.6485	
------------------------------------------------------
Total:	     569.576	     614.236	     127.177	

